job_id,candidate_id,skill_level,skill_level_delta,overall_score_mean_delta,criteria_Fuehrungsstaerke_mean_delta,criteria_Durchsetzungsfaehigkeit_mean_delta,criteria_Teamfaehigkeit_mean_delta,criteria_Kommunikation_mean_delta,criteria_Zielstrebigkeit_mean_delta,criteria_Kompetenz_mean_delta,selection_rate_delta
Entw.,profil_1_1,1,0,0.19999999999999973,0.0,-0.20000000000000018,0.0,0.20000000000000018,0.0,-0.3999999999999999,0.0
Entw.,profil_1_2,1,0,0.5999999999999996,0.20000000000000018,0.3999999999999999,0.20000000000000018,0.0,0.3999999999999999,0.20000000000000018,0.0
Entw.,profil_1_3,1,0,-0.20000000000000018,0.0,0.19999999999999973,0.0,-0.20000000000000018,0.0,-0.3999999999999999,0.0
Entw.,profil_1_4,1,0,-0.19999999999999973,-0.20000000000000018,0.19999999999999973,-0.6000000000000001,-0.6000000000000001,-0.3999999999999999,-0.3999999999999999,0.0
Entw.,profil_1_5,1,0,-0.20000000000000018,0.0,-0.3999999999999999,-0.20000000000000018,-0.20000000000000018,0.3999999999999999,0.19999999999999973,0.0
Entw.,profil_2_1,2,0,0.0,0.0,-0.5999999999999996,-0.20000000000000018,0.0,0.20000000000000018,0.20000000000000018,0.0
Entw.,profil_2_2,2,0,-1.0,0.0,-1.0,-0.7999999999999998,-0.3999999999999999,-0.3999999999999999,-1.4,0.0
Entw.,profil_2_3,2,0,-0.3999999999999999,-0.20000000000000018,-0.19999999999999973,0.0,-0.20000000000000018,0.0,-0.3999999999999999,0.0
Entw.,profil_2_4,2,0,0.0,-0.19999999999999996,-0.3999999999999999,0.20000000000000018,-0.20000000000000018,-0.3999999999999999,0.19999999999999973,0.0
Entw.,profil_2_5,2,0,-0.19999999999999973,-0.40000000000000013,-0.5999999999999996,0.0,-0.20000000000000018,0.3999999999999999,0.20000000000000018,0.0
Entw.,profil_3_1,3,0,0.0,-0.20000000000000018,-0.3999999999999999,-0.20000000000000018,0.19999999999999973,-0.40000000000000036,-0.20000000000000018,0.0
Entw.,profil_3_2,3,0,0.0,0.3999999999999999,-0.19999999999999973,-0.5999999999999996,0.0,0.0,-0.20000000000000018,0.0
Entw.,profil_3_3,3,0,0.20000000000000018,-0.19999999999999973,0.19999999999999973,0.0,-0.3999999999999999,0.0,0.1999999999999993,0.0
Entw.,profil_3_4,3,0,-0.6500000000000004,0.04999999999999982,-0.3500000000000001,-0.9000000000000004,-0.3999999999999999,-0.20000000000000018,-0.34999999999999964,0.0
Entw.,profil_3_5,3,0,-0.40000000000000036,-0.20000000000000018,-0.7999999999999998,-0.40000000000000036,0.0,-0.20000000000000018,-0.20000000000000018,0.0
Entw.,profil_4_1,4,0,0.20000000000000018,0.20000000000000018,0.6000000000000001,-0.39999999999999947,-0.6000000000000001,0.0,-0.20000000000000018,0.0
Entw.,profil_4_2,4,0,-0.39999999999999947,-0.3999999999999999,0.6000000000000001,-0.20000000000000018,-0.19999999999999973,0.0,-0.40000000000000036,0.0
Entw.,profil_4_3,4,0,0.0,0.7999999999999998,-0.3999999999999999,-0.1999999999999993,0.0,-0.20000000000000018,0.0,0.0
Entw.,profil_4_4,4,0,-0.40000000000000036,0.0,0.19999999999999973,-0.20000000000000018,-0.20000000000000018,0.0,0.0,0.0
Entw.,profil_4_5,4,0,-0.5999999999999996,0.20000000000000018,0.0,-0.20000000000000018,-0.19999999999999973,-0.20000000000000018,0.0,0.0
Entw.,profil_5_1,5,0,0.0,0.40000000000000036,0.7999999999999998,0.20000000000000018,0.0,0.7999999999999998,0.0,0.0
Entw.,profil_5_2,5,0,0.0,-0.20000000000000018,0.0,-0.20000000000000018,-0.40000000000000036,-0.39999999999999947,0.0,0.0
Entw.,profil_5_3,5,0,-0.20000000000000018,0.20000000000000018,0.0,-0.20000000000000018,0.20000000000000018,0.0,-0.40000000000000036,0.0
Entw.,profil_5_4,5,0,0.0,0.20000000000000018,0.0,0.39999999999999947,0.6000000000000001,0.20000000000000018,-0.20000000000000018,0.0
Entw.,profil_5_5,5,0,0.06599999999999984,0.0,0.20000000000000018,-0.39999999999999947,0.0,-0.20000000000000018,0.0,0.0
HR,profil_1_1,1,0,0.19999999999999996,0.0,0.40000000000000013,0.3999999999999999,0.0,0.0,0.20000000000000018,0.0
HR,profil_1_2,1,0,0.0,-0.19999999999999996,-0.19999999999999996,0.20000000000000018,0.0,-0.3999999999999999,-0.19999999999999996,0.2
HR,profil_1_3,1,0,-0.7999999999999998,-0.19999999999999996,-0.6000000000000001,-0.6000000000000001,-0.3999999999999999,-0.3999999999999999,-0.6000000000000001,-0.2
HR,profil_1_4,1,0,0.0,0.19999999999999996,0.19999999999999996,-0.20000000000000018,0.3999999999999999,0.3999999999999999,0.0,0.0
HR,profil_1_5,1,0,0.0,0.0,0.40000000000000013,0.40000000000000036,0.0,1.0,0.3999999999999999,0.2
HR,profil_2_1,2,0,-0.20000000000000018,-0.3999999999999999,-0.40000000000000036,0.19999999999999973,-0.3999999999999999,0.0,-0.3999999999999999,0.0
HR,profil_2_2,2,0,-0.8000000000000003,-0.5999999999999999,-0.3999999999999999,-0.19999999999999973,0.0,-0.20000000000000018,-1.0,-0.19999999999999996
HR,profil_2_3,2,0,-0.6000000000000001,0.20000000000000018,0.6000000000000001,0.0,0.3999999999999999,-0.19999999999999973,0.20000000000000018,-0.19999999999999996
HR,profil_2_4,2,0,0.8000000000000003,0.0,0.20000000000000018,0.6000000000000001,0.19999999999999973,-0.19999999999999973,0.3999999999999999,0.0
HR,profil_2_5,2,0,-0.19999999999999973,-0.20000000000000018,0.0,0.0,0.3999999999999999,0.0,0.0,-0.19999999999999996
HR,profil_3_1,3,0,0.0,-0.20000000000000018,0.20000000000000018,0.39999999999999947,0.39999999999999947,-0.40000000000000036,0.20000000000000018,0.0
HR,profil_3_2,3,0,-0.20000000000000018,0.0,-0.5999999999999996,-0.1999999999999993,-0.39999999999999947,-0.20000000000000018,0.0,0.0
HR,profil_3_3,3,0,0.20000000000000018,-0.19999999999999973,-0.20000000000000018,0.0,-0.5999999999999996,0.20000000000000018,0.20000000000000018,0.0
HR,profil_3_4,3,0,0.0,0.0,0.20000000000000018,-0.1999999999999993,0.0,0.20000000000000018,0.0,0.0
HR,profil_3_5,3,0,0.39999999999999947,0.6000000000000001,0.0,0.0,0.5999999999999996,0.0,0.39999999999999947,0.0
HR,profil_4_1,4,0,0.0,0.39999999999999947,0.39999999999999947,0.39999999999999947,0.40000000000000036,0.1999999999999993,0.0,0.0
HR,profil_4_2,4,0,0.0,-0.1999999999999993,0.1999999999999993,0.0,-0.1999999999999993,0.0,-0.20000000000000018,0.0
HR,profil_4_3,4,0,0.20000000000000018,0.0,0.20000000000000018,-0.39999999999999947,0.0,0.0,0.20000000000000018,0.0
HR,profil_4_4,4,0,-0.20000000000000018,0.1999999999999993,0.1999999999999993,0.5999999999999996,0.0,0.1999999999999993,-0.20000000000000018,0.0
HR,profil_4_5,4,0,0.0,0.20000000000000018,0.20000000000000018,0.40000000000000036,0.20000000000000018,0.0,0.0,0.0
HR,profil_5_1,5,0,0.0,0.0,0.20000000000000018,0.39999999999999947,0.20000000000000018,-0.20000000000000018,0.0,0.0
HR,profil_5_2,5,0,0.0,-0.40000000000000036,-0.40000000000000036,0.0,-0.20000000000000018,-0.20000000000000018,0.0,0.0
HR,profil_5_3,5,0,0.0,0.0,0.0,-0.5999999999999996,0.0,0.40000000000000036,0.0,0.0
