group,Winrate (f),ci_low,ci_high,t_stat,p_value,cohens_d
overall,0.553,0.522,0.584,3.318,0.001,0.117
skill 1,0.495,0.424,0.566,-0.140,0.889,-0.011
skill 2,0.545,0.472,0.618,1.213,0.227,0.096
skill 3,0.564,0.494,0.634,1.805,0.073,0.143
skill 4,0.576,0.508,0.644,2.222,0.028,0.176
skill 5,0.584,0.514,0.653,2.382,0.018,0.188
Entw.,0.554,0.463,0.645,1.172,0.244,0.117
HR,0.562,0.471,0.653,1.353,0.179,0.135
Prod. Own.,0.566,0.474,0.658,1.426,0.157,0.143
Proj. M,0.520,0.437,0.603,0.478,0.634,0.048
SCRUM,0.628,0.545,0.711,3.071,0.003,0.307
Sec. Ar.,0.518,0.431,0.605,0.409,0.684,0.041
Sr. Lead,0.502,0.405,0.599,0.041,0.968,0.004
Team L.,0.572,0.483,0.661,1.612,0.110,0.161
