group,Winrate (f),ci_low,ci_high,t_stat,p_value,cohens_d
overall,0.514,0.484,0.544,0.904,0.366,0.032
skill 1,0.515,0.445,0.585,0.426,0.671,0.034
skill 2,0.510,0.441,0.579,0.286,0.775,0.023
skill 3,0.509,0.438,0.580,0.244,0.808,0.019
skill 4,0.532,0.469,0.596,1.011,0.314,0.080
skill 5,0.504,0.434,0.573,0.107,0.915,0.008
Entw.,0.524,0.436,0.612,0.540,0.591,0.054
HR,0.546,0.470,0.622,1.200,0.233,0.120
Prod. Own.,0.528,0.445,0.611,0.671,0.504,0.067
Proj. M,0.512,0.428,0.596,0.285,0.776,0.029
SCRUM,0.484,0.394,0.574,-0.352,0.726,-0.035
Sec. Ar.,0.512,0.421,0.603,0.262,0.794,0.026
Sr. Lead,0.500,0.408,0.592,0.000,1.000,0.000
Team L.,0.506,0.413,0.599,0.129,0.898,0.013
