group,Winrate (f),ci_low,ci_high,t_stat,p_value,cohens_d
overall,0.548,0.517,0.578,3.079,0.002,0.109
skill 1,0.519,0.449,0.589,0.530,0.597,0.042
skill 2,0.534,0.460,0.608,0.902,0.368,0.071
skill 3,0.544,0.474,0.613,1.246,0.215,0.098
skill 4,0.580,0.514,0.646,2.411,0.017,0.191
skill 5,0.563,0.499,0.626,1.937,0.055,0.153
Entw.,0.546,0.454,0.638,0.992,0.323,0.099
HR,0.546,0.459,0.633,1.049,0.297,0.105
Prod. Own.,0.572,0.484,0.660,1.631,0.106,0.163
Proj. M,0.550,0.468,0.632,1.216,0.227,0.122
SCRUM,0.594,0.512,0.676,2.274,0.025,0.227
Sec. Ar.,0.510,0.422,0.598,0.226,0.821,0.023
Sr. Lead,0.516,0.423,0.609,0.341,0.734,0.034
Team L.,0.548,0.461,0.635,1.100,0.274,0.110
