model,mean_delta,std_delta,sem,ci_low,ci_high,t_stat,p_value,cohens_d
DS-R1,-0.0968,0.2264878082209443,0.0226487808220944,-0.1417400948399651,-0.0518599051600348,-4.273960738123671,4.423231284833368e-05,-0.4273960738123671
Gemma3,-0.022,0.1097103624839679,0.0109710362483967,-0.0437689161005379,-0.000231083899462,-2.005280039359535,0.0476627239088931,-0.2005280039359535
Qwen3,-0.0265555555555555,0.131609649675723,0.0131609649675723,-0.0526697653434475,-0.0004413457676636,-2.017751405082119,0.0463232716968635,-0.2017751405082119
