model,mean_delta,std_delta,sem,ci_low,ci_high,t_stat,p_value,cohens_d
DS-R1,-0.06792,0.2962430646729711,0.0209475479909742,-0.1092276543468294,-0.0266123456531705,-3.2423842651781887,0.001389885936542,-0.2292711901120058
Gemma3,-0.017,0.0935669485948255,0.0066161823846334,-0.030046824151341,-0.0039531758486589,-2.5694575831953728,0.0109174530104025,-0.1816880881048645
Qwen3,-0.024,0.2010625043444608,0.0142172660264317,-0.0520358307821903,0.0040358307821902,-1.6880882692481674,0.0929608015429759,-0.1193658662426841
Mistral,-0.009,0.1543962141853674,0.0109174610040003,-0.0305287586734518,0.0125287586734518,-0.8243674968660025,0.4107177569812222,-0.058291584722373
GPT OSS,-0.008,0.1791549117720759,0.0126681652996912,-0.0329810714663891,0.0169810714663891,-0.6315042321238882,0.5284356097260114,-0.0446540924882804
